y_true,anomaly_score
0.0,9.932451241949843e-05
0.0,0.0001425921218197011
0.0,0.00016662353384978637
0.0,8.021716592551998e-05
0.0,0.00034689967665615164
0.0,3.9464685566528135e-06
0.0,8.74126734929456e-05
0.0,4.747910969640533e-05
0.0,6.017086570095255e-05
0.0,0.001377257231069912
0.0,2.5851387385821646e-05
0.0,2.4160904026644064e-05
0.0,0.0003888277512180739
0.0,0.0003776477731898263
0.0,4.166458847539967e-05
0.0,0.0002640660136688623
0.0,4.563145848082393e-06
0.0,5.5857647551986734e-05
0.0,1.706152326451725e-05
0.0,6.5975751841653314e-06
0.0,4.922037164437788e-05
0.0,3.057574253847315e-05
0.0,3.848374893079494e-05
0.0,0.0003685918558173739
0.0,8.177895632540195e-06
0.0,1.6572836715654627e-05
0.0,1.7715601756900046e-05
0.0,3.485043926333127e-05
0.0,6.057293868927984e-06
0.0,7.090586066194286e-05
0.0,0.0002298315095474566
0.0,2.03517305353981e-05
0.0,0.00029867513599782117
0.0,0.00019392492130476582
0.0,1.0463814747245146e-05
0.0,2.1990720247200827e-05
0.0,4.094223763345216e-06
0.0,7.1671973396968815e-06
0.0,4.802136656943655e-06
0.0,0.00011452858493298947
0.0,6.0852422808573905e-05
0.0,0.0001194217740869377
0.0,0.0003272669848015941
0.0,5.395633287885846e-06
0.0,4.29034941472135e-06
0.0,0.017590811525972815
0.0,0.000172922886357709
0.0,0.0004421722091230657
0.0,0.0002814079083250006
0.0,5.103254652033032e-05
0.0,4.4021547443216285e-05
0.0,0.00013134157474652106
0.0,6.559392940895349e-05
0.0,0.00026472503043207255
0.0,0.0006932166568951604
0.0,4.3129104325494864e-05
0.0,5.7681727330747585e-06
0.0,2.4429974927831512e-05
0.0,7.023686563580103e-05
0.0,0.00019815227805103705
0.0,0.001099941255135495
0.0,2.12408341169433e-05
0.0,0.00013922001980875987
0.0,3.248435239963166e-05
0.0,3.66202155676672e-06
0.0,1.1901998040578027e-05
0.0,6.186814127248323e-06
0.0,1.4093703384669029e-05
0.0,9.265666883377568e-06
0.0,0.001970958604802185
0.0,7.880273093146133e-05
0.0,7.139382546274644e-06
0.0,2.059780668360862e-05
0.0,6.11069669415454e-06
0.0,8.445233839242645e-06
0.0,4.501369089542229e-05
0.0,5.693211474723245e-06
0.0,6.812013559290557e-06
0.0,3.822839550041256e-06
0.0,3.4851723402680595e-05
0.0,8.097033220704031e-05
0.0,0.0001374941456217287
0.0,9.983968894549868e-05
0.0,2.3189762983480518e-05
0.0,2.3289954397623676e-05
0.0,3.8907900384643805e-06
0.0,0.00026686704989049257
0.0,2.5725837143154773e-05
0.0,0.0002733738465465226
0.0,0.00011265816970357636
0.0,4.122905985642908e-06
0.0,4.288528617406271e-05
0.0,0.01730307998938881
0.0,0.00026785965599538823
0.0,5.925658814000621e-06
0.0,5.40240462179327e-06
0.0,3.810622791061097e-05
0.0,0.00035767178133984184
0.0,0.002160584574462908
0.0,8.872693408972125e-05
0.0,0.0010996205914057563
0.0,0.00023202972474117628
0.0,0.00026217693135249077
0.0,0.0003086304980811842
0.0,0.00010064403684804604
0.0,2.519248302378409e-05
0.0,6.432538941324798e-05
0.0,4.777284347632485e-05
0.0,0.00024100615004615745
0.0,8.85780087480409e-06
0.0,4.4767305674627476e-05
0.0,6.438569947020002e-05
0.0,2.6545596366374053e-05
0.0,0.00030484336000563523
0.0,1.0884187026196372e-05
0.0,7.206364726068241e-06
0.0,0.0006734892767637544
0.0,0.0001530460331936829
0.0,0.0006816001251247533
0.0,0.0016531294705041085
0.0,5.874873813290688e-06
0.0,7.001666520060975e-05
0.0,0.00021951449017071456
0.0,3.697279415867977e-05
0.0,0.00012899964816568747
0.0,8.946905108567919e-06
0.0,0.0009200915695659458
0.0,7.652741964032625e-06
0.0,2.3166632077842287e-05
0.0,8.905085495758012e-06
0.0,2.5655476465068457e-05
0.0,0.0002741096258378384
