Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,Pkt Size Avg,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
6,40823967,6,7,487.0,0.0,487,0,81.16666667,198.8169175,0,0,0.0,0.0,11.92926694,0.318440391,3401997.25,5024900.362,10200000.0,40.0,40800000.0,8164518.2,4564428.055,10200000.0,123.0,40800000.0,6803994.5,5270041.98,10200000.0,97.0,192,240,0.146972488,0.171467903,0,487,34.78571429,130.1562248,16940.64286,37.46153846,411.25,726.5385399,1501.0,40.0,10200000.0,69107.71531,10200000.0,10100000.0
6,1198242,55,75,2855.0,80143.0,912,0,51.90909091,146.7722187,1448,0,1068.573333,610.7479724,69266.47538999999,108.4922745,9288.697674,40619.12098,319551.0,9.0,1148276.0,21264.37037,65520.259000000005,366067.0,51.0,1198242.0,16192.45946,54297.93405,319551.0,17.0,1760,2416,45.90057768,62.59169684,0,1448,633.5725191,690.4171652000001,476675.862,638.4461537999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,40823919,6,7,487.0,0.0,487,0,81.16666667,198.8169175,0,0,0.0,0.0,11.92928097,0.318440765,3401993.25,5024928.586,10200000.0,13.0,40800000.0,8164518.4,4564433.641,10200000.0,113.0,40800000.0,6803986.5,5270056.685,10200000.0,45.0,192,240,0.146972661,0.1714681039999999,0,487,34.78571429,130.1562248,16940.64286,37.46153846,373.0,716.0018622,1447.0,13.0,10200000.0,69100.5604,10200000.0,10100000.0
6,1203079,55,75,2855.0,80143.0,912,0,51.90909091,146.7722187,1448,0,1068.573333,610.7479724,68987.98832,108.0560794,9326.193798,40622.76427,319557.0,3.0,1148271.0,21264.27778,65519.70432,366073.0,51.0,1203079.0,16257.82432,54290.18265,319557.0,14.0,1760,2416,45.71603361,62.34004583,0,1448,633.5725191,690.4171652000001,476675.862,638.4461537999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,850,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2352.9411760000003,850.0,0.0,850.0,850.0,0.0,0.0,0.0,0.0,0.0,850.0,850.0,0.0,850.0,850.0,0,64,0.0,2352.9411760000003,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1106,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1808.318264,1106.0,0.0,1106.0,1106.0,0.0,0.0,0.0,0.0,0.0,1106.0,1106.0,0.0,1106.0,1106.0,0,64,0.0,1808.318264,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,997,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2006.018054,997.0,0.0,997.0,997.0,0.0,0.0,0.0,0.0,0.0,997.0,997.0,0.0,997.0,997.0,0,64,0.0,2006.018054,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1131,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1768.346596,1131.0,0.0,1131.0,1131.0,0.0,0.0,0.0,0.0,0.0,1131.0,1131.0,0.0,1131.0,1131.0,0,64,0.0,1768.346596,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3063,2,5,302.0,1801.0,302,0,151.0,213.54624790000005,1801,0,360.2,805.4316855000001,686581.7826,2285.3411690000003,510.5,667.3412171,1679.0,38.0,189.0,189.0,0.0,189.0,189.0,3063.0,765.75,794.4135677999999,1679.0,96.0,64,176,652.9546197000001,1632.386549,0,1801,262.875,630.416968,397425.5536,300.42857139999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,216,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,9259.259259,216.0,0.0,216.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,32,4629.629629999999,4629.629629999999,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,95066,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,42.07603139,31688.66667,53994.81176,94034.0,32.0,94034.0,94034.0,0.0,94034.0,94034.0,32.0,32.0,0.0,32.0,32.0,64,80,21.03801569,21.03801569,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3307,2,5,302.0,1801.0,302,0,151.0,213.54624790000005,1801,0,360.2,805.4316855000001,635923.798,2116.7221050000003,551.1666667000001,721.5348686000001,1498.0,37.0,187.0,187.0,0.0,187.0,187.0,3307.0,826.75,887.0405383,1686.0,47.0,64,176,604.7777442,1511.94436,0,1801,262.875,630.416968,397425.5536,300.42857139999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,383,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,5221.932115,383.0,0.0,383.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,32,2610.966057,2610.966057,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,77264,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,51.77055291,25754.66667,43528.6669,76013.0,60.0,76013.0,76013.0,0.0,76013.0,76013.0,60.0,60.0,0.0,60.0,60.0,64,80,25.88527645,25.88527645,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
